startsAt,open,high,low,close,volume,quoteVolume
1541944800,212.90459973,212.90459973,211.58339139,211.58339139,22.84185683,4851.28002001
1541948400,211.59138179,211.59138179,209.41879876,210.37200000,183.33414054,38610.38933050
1541952000,210.37200000,210.99999999,209.00000000,210.99999999,79.49763078,16660.66262390
1541955600,209.51195923,211.19803847,209.26374444,211.19803847,29.81907711,6256.50391353
1541959200,211.08517866,211.19803850,209.22637213,211.19803850,9.55070950,2006.47612700
1541962800,211.19803850,211.89652050,210.82537393,211.18500000,16.77142584,3538.44989486
1541966400,211.18250000,211.76329164,211.18250000,211.20100009,66.45734561,14066.99724965
1541970000,211.59455780,211.59455780,210.90000000,211.39602209,2.62173545,553.32264785
1541973600,211.39602209,211.39602209,210.90000000,210.90000000,9.71464704,2048.92281512
1541977200,211.85000000,213.20163317,211.85000000,212.58000002,18.07905278,3842.24375543
1541980800,213.21890092,214.49586522,213.21890092,214.42658025,33.76964997,7228.68704105
1541984400,212.91061839,213.91139855,212.74775650,213.91139855,4.02598302,857.40247314
1541988000,213.85900000,214.04169701,213.25000000,213.25000000,5.46105797,1168.07875220
1541991600,213.25000001,214.49586522,213.20000000,213.20000000,23.22434804,4965.45440443
1541995200,213.20000000,213.20000002,212.99791170,212.99791170,0.67616796,144.07407039
1541998800,212.21000004,212.21000013,212.21000004,212.21000010,4.03000000,855.20630040
1542002400,213.19962797,213.19962797,212.37000012,212.40000081,1.10769367,235.30690952
1542006000,212.40000000,212.94080944,211.05835829,211.14989010,22.14047281,4685.85636535
1542009600,211.14989010,212.62904075,211.02000000,212.62904075,21.47249747,4557.61894699
1542013200,212.73521711,212.80212765,211.54000003,212.00000000,191.38478075,40577.30680881
1542016800,212.00000000,212.64547341,211.53669628,212.64547341,58.80828668,12466.29180081
1542020400,211.56000000,212.59107945,211.38000001,211.58268892,20.78924927,4397.94819213
1542024000,212.38000006,214.00000000,212.38000006,212.72011334,115.70333242,24743.51097364
1542027600,212.72011334,213.33173828,212.72011334,212.80000001,41.62905070,8858.79443820
1542031200,213.33173828,214.99999999,213.03400000,214.30864664,368.85440057,79033.34803587
1542034800,214.53392122,214.53392122,213.00000000,213.00000000,44.58965803,9536.27271072
1542038400,213.96082958,213.96082960,213.00000000,213.00000000,121.00331557,25865.66740108
1542042000,213.00000000,213.14914943,211.97198362,211.97198362,7.98114890,1698.15724546
1542045600,212.98698877,213.27826906,212.98698877,213.09147301,13.94692692,2971.21997620
1542049200,213.00842408,213.58411862,211.97198360,213.58411862,14.22801402,3029.96394073
1542052800,212.11000002,213.48535199,212.11000000,212.11000000,6.51738062,1390.62464275
1542056400,212.27341658,213.39999997,211.85691122,212.93715083,28.24962398,5993.12104382
1542060000,211.85691120,213.02149746,211.03513762,213.02149746,25.70131285,5449.17295924
1542063600,212.10283822,213.23744703,212.00000002,212.00000002,28.84364280,6150.27657663
1542067200,213.74987880,213.74987880,212.30000000,212.69000000,25.13742801,5370.19270299
1542070800,212.37000000,212.37000000,210.00000000,211.00000000,154.12231995,32620.23693106
1542074400,210.76000000,212.52254415,210.00000000,211.86000000,956.37069407,202607.77433357
1542078000,211.51000000,212.45000000,211.51000000,211.98155000,4.77798733,1013.44116496
1542081600,211.82469600,212.50000000,211.82469600,212.50000000,5.55488832,1176.97754216
1542085200,212.07956190,212.28900000,211.96073058,211.96073058,8.09338088,1716.32390691
1542088800,212.50999999,212.50999999,211.78000000,211.90000000,10.83387566,2300.13092230
1542092400,211.90000000,212.00897969,210.74000000,211.30000000,53.38416131,11296.74620835
1542096000,212.25171934,212.52060170,210.13000000,210.13000000,379.62871341,80574.95262697
1542099600,210.00000000,211.00000000,209.66000001,211.00000000,28.54501329,5995.88301833
1542103200,211.00000000,211.00000000,210.58999998,211.00000000,3.69866892,779.93496985
1542106800,211.00000000,212.10000000,210.79000000,211.28000000,27.28639632,5784.46742416
1542110400,211.22000000,211.98309142,211.22000000,211.98309142,44.06912435,9340.82069796
1542114000,211.99000000,212.22000000,211.10000000,211.10000000,5.58461099,1182.17146328
1542117600,211.26499998,211.43000000,210.52708462,211.43000000,118.83788062,25083.27976362
1542121200,211.80000000,212.29000000,210.85000000,212.16000000,10.99295972,2329.19338691
1542124800,211.65701000,213.13700448,211.65701000,213.13700448,15.06073540,3200.15094046
1542128400,213.13700448,213.43999999,212.68993665,213.00000000,31.82127007,6779.91861376
1542132000,212.30000000,212.81000000,209.70000000,209.70000000,198.67661691,41957.07296891
1542135600,209.56736499,210.27999998,209.44534302,209.60527229,69.17750367,14503.21801397
1542139200,209.60527229,210.85000000,209.60527229,210.66000400,42.71666402,8996.49411387
1542142800,210.73999997,210.73999997,210.07600000,210.45000000,13.40861413,2820.04903786
1542146400,210.23000000,210.23000000,209.45527621,209.50000000,10.94273593,2293.31689033
1542150000,210.96468629,210.96468629,210.96468629,210.96468629,0.50153282,105.80571403
1542153600,209.44534302,210.78063109,209.44534302,210.39000000,51.96269107,10896.50999315
1542157200,210.08000000,210.52799919,209.62000000,209.70272609,1.22647711,257.16290129
1542160800,209.78000000,210.36000000,209.78000000,210.36000000,8.20330065,1723.53813627
1542164400,210.31584000,210.45000000,209.98000001,210.45000000,18.44132936,3873.93858818
1542168000,210.36582000,210.54574800,210.09000000,210.54574800,24.86933907,5231.27356917
1542171600,210.63000000,210.63000000,209.81000000,210.20000000,16.33655831,3430.47520298
1542175200,210.20000001,211.22000000,210.20000001,210.94000000,16.16905458,3411.62633978
1542178800,210.80000000,210.80000000,209.81000000,209.81000000,23.43169090,4930.10996235
1542182400,209.81000000,210.80247932,209.81000000,209.81000000,12.47629322,2622.00637998
1542186000,209.81000000,210.21581029,204.59544069,204.88000000,421.85133065,87359.30976440
1542189600,205.06000000,206.13000000,202.59324608,204.18000000,240.45627125,49005.74422689
1542193200,203.47543842,204.95135605,203.34000000,204.32000000,88.52934896,18053.34064022
1542196800,204.17000000,205.35000000,204.00000000,204.00000000,40.55767209,8292.53993181
1542200400,203.80000000,203.99999999,202.20000000,203.99999999,44.59907271,9049.40649663
1542204000,203.69000000,203.69000000,200.50000000,200.68999999,613.29233288,123654.48118759
1542207600,200.50000000,200.57000000,190.00000000,191.07640000,1666.92693560,324454.55959982
1542211200,191.42999997,193.80000000,176.00000000,188.72430946,4585.57570907,853596.59419191
1542214800,188.80643220,194.84923552,182.00000001,191.14779791,1585.72299282,300129.99953859
1542218400,191.38000000,191.95414000,185.00000000,186.20000000,229.19730432,43263.72901054
1542222000,186.39811588,186.58300683,179.43237561,185.84699295,513.89413015,93301.58154145
1542225600,185.19890344,186.54647998,177.36159060,181.41186981,292.36738320,52974.66984275
1542229200,181.68896951,188.76114469,180.70999484,186.12536590,257.87091739,47768.76819824
1542232800,185.72258988,185.88923327,182.04885419,183.88567981,144.85361948,26771.83076097
1542236400,183.88567981,187.68954318,183.20000000,186.78261117,557.40474715,103741.60019300
1542240000,187.82338306,189.50057813,185.65147466,189.27544025,221.02537720,41572.16085992
1542243600,187.74349032,187.74349032,185.00000000,186.27644684,164.39906647,30643.68061745
1542247200,186.27644677,186.27644677,179.45518376,180.50646366,209.07473803,37859.85205931
