Name	Emittent	ISIN
BNPP E MSCI PAC EX JPN ESG FILTRD MIN TE 	BNP PARIBAS ASSET MANAGEMENT Luxembourg 	LU1291106356 
BNPP E MSCI USA SRI S-SR PAB 5% CPD 	BNP PARIBAS ASSET MANAGEMENT Luxembourg 	LU1659681669 
BNPP E MSCI WORLD SRI S-SR PAB 5% CPD 	BNP PARIBAS ASSET MANAGEMENT Luxembourg 	LU1615092217 
BNPP EASY S&P 500 ETF 	BNP PARIBAS ASSET MANAGEMENT France 	FR0013041530 
BNPP EASY S&P 500 ETF 	BNP PARIBAS ASSET MANAGEMENT France 	FR0011550185 
BNPP EASY STOXX EUROPE 600 ETF 	BNP PARIBAS ASSET MANAGEMENT France 	FR0011550193 
CSIF (IE) DAX 50 ESG BLUE UCITS ETF 	Carne Global Fund Managers [Ireland] Ltd. 	IE00BKVD2J03 
CSIF (IE) FTSE EPRA NAREIT DEV GRN BLETF 	Carne Global Fund Managers [Ireland] Ltd. 	IE00BMDX0K95 
CSIF (IE) MSCI USATECH125ESGUNVSLBLUEETF 	Carne Global Fund Managers [Ireland] Ltd. 	IE000YKE1AQ5 
CSIF (IE) MSCI WLD ESG LDRS MIN VOLBLETF 	Carne Global Fund Managers [Ireland] Ltd. 	IE00BMDX0M10 
DEKA DAX ETF 	Deka Investment GmbH 	DE000ETFL011 
DEKA DAXPLUS MAX DIV ETF 	Deka Investment GmbH 	DE000ETFL235 
DEKA DT. BOERSE EUROGOV GER 5-10 ETF 	Deka Investment GmbH 	DE000ETFL201 
DEKA EURO ISTOXX EX FIN DIVIDEND+ ETF 	Deka Investment GmbH 	DE000ETFL482 
DEKA EURO STOXX 50 ETF 	Deka Investment GmbH 	DE000ETFL029 
DEKA EURO STOXX SELECT DIVIDEND 30 ETF 	Deka Investment GmbH 	DE000ETFL078 
DEKA FUT.ENER.ESG UE 	Deka Investment GmbH 	DE000ETFL607 
DEKA IBOXX LIQ NON-FINCLS DVRSFD ETF 	Deka Investment GmbH 	DE000ETFL383 
DEKA MDAX ETF 	Deka Investment GmbH 	DE000ETFL441 
DEKA MSCI EMU CLIM CHG ESG UCITS ETF 	Deka Investment GmbH 	DE000ETFL557 
DEKA MSCI EUROPE CLIM CHG ESG UCITS ETF 	Deka Investment GmbH 	DE000ETFL565 
DEKA MSCI GERMANY CLIM CHG ESG UCITS ETF 	Deka Investment GmbH 	DE000ETFL540 
DEKA MSCI JAP CLIM CHA ESG UCITS ETF 	Deka Investment GmbH 	DE000ETFL318 
DEKA MSCI USA CLIM CHG ESG UCITS ETF 	Deka Investment GmbH 	DE000ETFL573 
DEKA MSCI WORLD CLIM CHG ESG UCITS ETF 	Deka Investment GmbH 	DE000ETFL581 
DEKA STOXX EUROPE STRONG GROWTH 20 ETF 	Deka Investment GmbH 	DE000ETFL037 
EMQQ EMERGING MARKETS INTERNET&ECOMM ETF 	HANetf Management Ltd. 	IE00BFYN8Y92 
ETC GRP DGTL ASSTS AND BLOCKCHAIN EQ ETF 	HANetf Management Ltd. 	IE00BMQ8YK98 
FIDCLEANENERETF DLA 	FIL Investment Management [Luxembourg] S.A. 	IE0002MXIF34 
FIDCLOUDCOMPETF DLA 	FIL Investment Management [Luxembourg] S.A. 	IE000M0ZXLY9 
FIDDIGHEALTHETF DLA 	FIL Investment Management [Luxembourg] S.A. 	IE000BPQIAA3 
FIDELITY EMERGING MARKETS QUAL INC ETF 	FIL Investment Management [Luxembourg] S.A. 	IE00BYSX4846 
FIDELITY EMERGING MARKETS QUAL INC ETF 	FIL Investment Management [Luxembourg] S.A. 	IE00BYSX4739 
FIDELITY EUROPE QUALITY INCOME ETF 	FIL Investment Management [Luxembourg] S.A. 	IE00BYSX4283 
